User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
1,27.0,Female,Instagram,120.0,3.0,45.0,10.0,12.0,Happiness
2,21.0,Male,Twitter,90.0,5.0,20.0,25.0,30.0,Anger
3,28.0,Non-binary,Facebook,60.0,2.0,15.0,5.0,20.0,Neutral
4,27.0,Female,Instagram,200.0,8.0,100.0,30.0,50.0,Anxiety
5,21.0,Male,LinkedIn,45.0,1.0,5.0,2.0,10.0,Boredom
6,25.0,Male,Instagram,150.0,4.0,60.0,15.0,25.0,Happiness
7,25.0,Female,Twitter,85.0,3.0,30.0,10.0,18.0,Anger
8,21.0,Non-binary,Facebook,110.0,6.0,25.0,12.0,22.0,Sadness
9,24.0,Female,LinkedIn,55.0,2.0,10.0,3.0,8.0,Neutral
10,33.0,Male,Instagram,170.0,5.0,80.0,20.0,35.0,Happiness
11,32.0,Female,Twitter,75.0,4.0,35.0,7.0,20.0,Anxiety
12,23.0,Non-binary,Facebook,95.0,3.0,20.0,10.0,18.0,Sadness
13,32.0,Male,LinkedIn,65.0,1.0,12.0,4.0,15.0,Boredom
14,25.0,Female,Instagram,180.0,7.0,90.0,25.0,40.0,Happiness
15,35.0,Male,Twitter,100.0,6.0,40.0,23.0,28.0,Anger
16,31.0,Non-binary,Facebook,40.0,1.0,5.0,2.0,10.0,Neutral
17,31.0,Female,Instagram,125.0,4.0,55.0,18.0,30.0,Anxiety
18,34.0,Male,Twitter,90.0,3.0,33.0,15.0,25.0,Sadness
19,28.0,Non-binary,LinkedIn,50.0,1.0,8.0,3.0,12.0,Neutral
20,29.0,Female,Instagram,140.0,5.0,70.0,22.0,33.0,Happiness
21,31.0,Male,Facebook,75.0,2.0,25.0,10.0,18.0,Anxiety
22,23.0,Female,Twitter,105.0,4.0,28.0,14.0,20.0,Anger
23,22.0,Male,LinkedIn,60.0,2.0,11.0,5.0,17.0,Boredom
24,25.0,Non-binary,Instagram,190.0,8.0,95.0,26.0,45.0,Happiness
25,24.0,Female,Twitter,70.0,3.0,20.0,12.0,15.0,Sadness
26,29.0,Male,Facebook,80.0,2.0,18.0,8.0,21.0,Neutral
27,27.0,Non-binary,LinkedIn,55.0,1.0,9.0,2.0,11.0,Anxiety
28,27.0,Female,Instagram,160.0,6.0,85.0,19.0,32.0,Happiness
29,29.0,Male,Twitter,90.0,4.0,38.0,17.0,24.0,Anger
30,31.0,Non-binary,Facebook,45.0,1.0,6.0,3.0,10.0,Sadness
31,21.0,Female,LinkedIn,65.0,2.0,13.0,4.0,14.0,Boredom
32,28.0,Male,Instagram,145.0,5.0,75.0,20.0,35.0,Happiness
33,31.0,Non-binary,Twitter,70.0,3.0,27.0,11.0,18.0,Neutral
34,32.0,Female,Instagram,130.0,6.0,88.0,15.0,30.0,Sadness
35,27.0,Male,Facebook,65.0,2.0,22.0,8.0,20.0,Anxiety
36,28.0,Non-binary,LinkedIn,55.0,1.0,10.0,5.0,11.0,Boredom
37,28.0,Female,Instagram,170.0,7.0,90.0,25.0,40.0,Happiness
38,27.0,Male,Twitter,85.0,4.0,35.0,15.0,20.0,Anger
39,26.0,Female,Instagram,115.0,3.0,55.0,12.0,25.0,Neutral
40,35.0,Non-binary,Facebook,100.0,2.0,18.0,10.0,22.0,Anxiety
41,31.0,Male,LinkedIn,45.0,1.0,6.0,2.0,9.0,Sadness
42,26.0,Female,Instagram,150.0,6.0,80.0,18.0,30.0,Happiness
43,29.0,Male,Twitter,95.0,4.0,40.0,20.0,22.0,Anger
44,23.0,Non-binary,Facebook,105.0,2.0,20.0,8.0,18.0,Neutral
45,30.0,Female,LinkedIn,60.0,1.0,12.0,5.0,14.0,Boredom
46,29.0,Male,Instagram,175.0,7.0,85.0,23.0,38.0,Happiness
47,27.0,Female,Twitter,90.0,3.0,33.0,12.0,20.0,Sadness
48,34.0,Non-binary,Facebook,75.0,2.0,28.0,11.0,18.0,Anxiety
49,25.0,Male,Instagram,130.0,5.0,70.0,19.0,31.0,Neutral
50,23.0,Female,LinkedIn,55.0,1.0,8.0,4.0,10.0,Boredom
51,34.0,Male,Instagram,165.0,6.0,78.0,22.0,27.0,Happiness
52,28.0,Female,Twitter,75.0,3.0,29.0,15.0,19.0,Anger
53,23.0,Non-binary,Facebook,85.0,2.0,25.0,7.0,20.0,Neutral
54,24.0,Female,Instagram,145.0,4.0,60.0,18.0,35.0,Sadness
55,28.0,Male,LinkedIn,60.0,1.0,10.0,3.0,17.0,Anxiety
56,27.0,Female,Whatsapp,70.0,2.0,40.0,8.0,21.0,Anxiety
57,27.0,Male,Telegram,90.0,3.0,20.0,10.0,22.0,Boredom
58,28.0,Non-binary,Snapchat,50.0,2.0,15.0,5.0,18.0,Sadness
59,27.0,Female,Twitter,95.0,4.0,45.0,20.0,25.0,Happiness
60,25.0,Male,Facebook,60.0,1.0,10.0,4.0,15.0,Boredom
61,28.0,Female,Instagram,175.0,6.0,70.0,23.0,33.0,Happiness
62,27.0,Male,Whatsapp,70.0,3.0,20.0,8.0,18.0,Anger
63,27.0,Non-binary,Telegram,80.0,2.0,18.0,7.0,20.0,Neutral
64,29.0,Female,Snapchat,120.0,4.0,50.0,15.0,30.0,Anxiety
65,23.0,Male,Twitter,90.0,6.0,40.0,12.0,26.0,Sadness
66,23.0,Non-binary,Facebook,60.0,1.0,8.0,2.0,12.0,Boredom
67,23.0,Male,Instagram,165.0,5.0,75.0,18.0,35.0,Happiness
68,23.0,Female,Whatsapp,65.0,2.0,25.0,8.0,20.0,Neutral
69,26.0,Male,Telegram,105.0,3.0,45.0,15.0,28.0,Anxiety
70,27.0,Non-binary,Snapchat,75.0,2.0,18.0,6.0,20.0,Sadness
71,30.0,Female,Instagram,140.0,4.0,60.0,18.0,30.0,Happiness
72,35.0,Male,Twitter,70.0,1.0,12.0,7.0,10.0,Boredom
73,29.0,Non-binary,Facebook,55.0,3.0,15.0,5.0,12.0,Neutral
74,31.0,Female,Whatsapp,90.0,2.0,20.0,9.0,22.0,Anger
75,31.0,Male,Telegram,80.0,4.0,28.0,11.0,25.0,Neutral
76,27.0,Non-binary,Snapchat,115.0,3.0,36.0,12.0,27.0,Anxiety
77,22.0,Female,Instagram,155.0,6.0,72.0,20.0,38.0,Happiness
78,31.0,Male,Twitter,75.0,2.0,22.0,10.0,18.0,Sadness
79,26.0,Non-binary,Facebook,65.0,1.0,12.0,5.0,14.0,Anxiety
80,32.0,Female,Whatsapp,90.0,4.0,35.0,14.0,20.0,Neutral
81,26.0,Male,Telegram,50.0,2.0,18.0,6.0,12.0,Sadness
82,29.0,Non-binary,Snapchat,85.0,3.0,30.0,13.0,18.0,Happiness
83,21.0,Female,Instagram,120.0,5.0,55.0,19.0,25.0,Anger
84,22.0,Male,Twitter,70.0,1.0,20.0,5.0,22.0,Neutral
85,29.0,Non-binary,Facebook,75.0,2.0,18.0,8.0,20.0,Boredom
86,24.0,Female,Whatsapp,100.0,4.0,35.0,12.0,26.0,Anxiety
87,26.0,Male,Telegram,85.0,3.0,40.0,15.0,28.0,Sadness
88,28.0,Non-binary,Snapchat,60.0,1.0,15.0,5.0,12.0,Neutral
89,32.0,Female,Instagram,170.0,6.0,78.0,22.0,33.0,Happiness
90,30.0,Male,Twitter,70.0,2.0,28.0,10.0,20.0,Anxiety
91,28.0,Non-binary,Facebook,50.0,1.0,8.0,2.0,10.0,Boredom
92,33.0,Female,Whatsapp,105.0,4.0,50.0,18.0,25.0,Anger
93,23.0,Male,Telegram,75.0,3.0,33.0,13.0,22.0,Neutral
94,29.0,Female,Snapchat,95.0,2.0,20.0,7.0,28.0,Sadness
95,28.0,Male,Instagram,150.0,5.0,65.0,20.0,30.0,Anxiety
96,26.0,Non-binary,Twitter,85.0,4.0,30.0,13.0,18.0,Boredom
97,26.0,Female,Facebook,70.0,1.0,12.0,5.0,10.0,Neutral
98,27.0,Male,Whatsapp,110.0,3.0,45.0,20.0,25.0,Happiness
99,22.0,Non-binary,Telegram,60.0,2.0,15.0,6.0,18.0,Anger
100,33.0,Female,Snapchat,120.0,4.0,38.0,13.0,22.0,Neutral
101,24.0,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness
102,24.0,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger
103,27.0,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral
104,27.0,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety
105,27.0,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom
106,27.0,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness
107,27.0,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger
108,27.0,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness
109,27.0,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral
110,27.0,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness
111,27.0,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety
112,27.0,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness
113,27.0,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom
114,27.0,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness
115,27.0,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger
116,27.0,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral
117,27.0,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety
118,27.0,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness
119,27.0,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral
120,27.0,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness
121,27.0,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety
122,27.0,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger
123,27.0,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom
124,27.0,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness
125,27.0,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness
126,27.0,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral
127,27.0,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety
128,27.0,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness
129,27.0,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger
130,27.0,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness
131,27.0,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom
132,27.0,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness
133,27.0,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral
134,27.0,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness
135,27.0,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety
136,27.0,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom
137,27.0,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness
138,27.0,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger
139,27.0,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral
140,27.0,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety
141,27.0,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness
142,27.0,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness
143,27.0,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger
144,27.0,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral
145,27.0,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom
146,27.0,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness
147,27.0,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness
148,27.0,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety
149,27.0,Male,Instagram,130.0,5.0,80.0,28.0,31.0,Neutral
150,27.0,Female,LinkedIn,55.0,1.0,12.0,6.0,10.0,Boredom
151,27.0,Male,Instagram,165.0,6.0,85.0,30.0,28.0,Happiness
152,27.0,Female,Twitter,75.0,3.0,33.0,18.0,19.0,Anger
153,27.0,Non-binary,Facebook,85.0,2.0,27.0,9.0,20.0,Neutral
154,27.0,Female,Instagram,145.0,4.0,65.0,23.0,35.0,Sadness
155,27.0,Male,LinkedIn,60.0,1.0,15.0,7.0,17.0,Anxiety
156,27.0,Female,Whatsapp,70.0,2.0,42.0,10.0,21.0,Anxiety
157,27.0,Male,Telegram,90.0,3.0,22.0,11.0,22.0,Boredom
158,27.0,Non-binary,Snapchat,50.0,2.0,18.0,7.0,18.0,Sadness
159,27.0,Female,Twitter,95.0,4.0,48.0,22.0,25.0,Happiness
160,27.0,Male,Facebook,60.0,1.0,12.0,5.0,15.0,Boredom
161,27.0,Female,Instagram,175.0,6.0,72.0,30.0,33.0,Happiness
162,27.0,Male,Whatsapp,70.0,3.0,22.0,10.0,18.0,Anger
163,27.0,Non-binary,Telegram,80.0,2.0,21.0,8.0,20.0,Neutral
164,27.0,Female,Snapchat,120.0,4.0,55.0,18.0,30.0,Anxiety
165,27.0,Male,Twitter,90.0,6.0,42.0,14.0,26.0,Sadness
166,27.0,Non-binary,Facebook,60.0,1.0,12.0,4.0,12.0,Boredom
167,27.0,Male,Instagram,165.0,5.0,78.0,23.0,35.0,Happiness
168,27.0,Female,Whatsapp,65.0,2.0,27.0,10.0,20.0,Neutral
169,27.0,Male,Telegram,105.0,3.0,48.0,20.0,28.0,Anxiety
170,27.0,Non-binary,Snapchat,75.0,2.0,21.0,8.0,20.0,Sadness
171,27.0,Female,Instagram,140.0,4.0,65.0,22.0,30.0,Happiness
172,27.0,Male,Twitter,70.0,1.0,13.0,8.0,10.0,Boredom
173,27.0,Non-binary,Facebook,55.0,3.0,17.0,7.0,12.0,Neutral
174,27.0,Female,Whatsapp,90.0,2.0,24.0,12.0,22.0,Anger
175,27.0,Male,Telegram,80.0,4.0,30.0,13.0,25.0,Neutral
176,27.0,Non-binary,Snapchat,115.0,3.0,38.0,18.0,27.0,Anxiety
177,27.0,Female,Instagram,155.0,6.0,75.0,25.0,38.0,Happiness
178,27.0,Male,Twitter,75.0,2.0,23.0,12.0,18.0,Sadness
179,27.0,Non-binary,Facebook,65.0,1.0,13.0,7.0,14.0,Anxiety
180,27.0,Female,Whatsapp,90.0,4.0,37.0,18.0,20.0,Neutral
181,27.0,Male,Telegram,50.0,2.0,20.0,10.0,12.0,Sadness
182,27.0,Non-binary,Snapchat,85.0,3.0,33.0,20.0,18.0,Happiness
183,27.0,Female,Instagram,120.0,5.0,60.0,25.0,25.0,Anger
184,27.0,Male,Twitter,70.0,1.0,22.0,7.0,22.0,Neutral
185,27.0,Non-binary,Facebook,75.0,2.0,20.0,8.0,20.0,Boredom
186,27.0,Female,Whatsapp,100.0,4.0,37.0,14.0,26.0,Anxiety
187,27.0,Male,Telegram,85.0,3.0,45.0,20.0,28.0,Sadness
188,27.0,Non-binary,Snapchat,60.0,1.0,18.0,7.0,12.0,Neutral
189,27.0,Female,Instagram,170.0,6.0,83.0,30.0,33.0,Happiness
190,27.0,Male,Twitter,70.0,2.0,30.0,12.0,20.0,Anxiety
191,27.0,Non-binary,Facebook,50.0,1.0,10.0,4.0,10.0,Boredom
192,27.0,Female,Whatsapp,105.0,4.0,55.0,25.0,25.0,Anger
193,27.0,Male,Telegram,75.0,3.0,37.0,16.0,22.0,Neutral
194,27.0,Female,Snapchat,95.0,2.0,23.0,10.0,28.0,Sadness
195,27.0,Male,Instagram,150.0,5.0,70.0,25.0,30.0,Anxiety
196,27.0,Non-binary,Twitter,85.0,4.0,35.0,18.0,18.0,Boredom
197,27.0,Female,Facebook,70.0,1.0,14.0,6.0,10.0,Neutral
198,27.0,Male,Whatsapp,110.0,3.0,50.0,25.0,25.0,Happiness
199,27.0,Non-binary,Telegram,60.0,2.0,18.0,8.0,18.0,Anger
200,27.0,Female,Snapchat,120.0,4.0,40.0,18.0,22.0,Neutral
201,27.0,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness
202,27.0,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger
203,27.0,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral
204,27.0,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety
205,27.0,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom
206,27.0,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness
207,27.0,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger
208,27.0,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness
209,27.0,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral
210,27.0,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness
211,27.0,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety
212,27.0,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness
213,27.0,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom
214,27.0,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness
215,27.0,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger
216,27.0,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral
217,27.0,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety
218,27.0,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness
219,27.0,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral
220,27.0,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness
221,27.0,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety
222,27.0,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger
223,27.0,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom
224,27.0,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness
225,27.0,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness
226,27.0,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral
227,27.0,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety
228,27.0,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness
229,27.0,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger
230,27.0,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness
231,27.0,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom
232,27.0,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness
233,27.0,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral
234,27.0,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness
235,27.0,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety
236,27.0,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom
237,27.0,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness
238,27.0,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger
239,27.0,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral
240,27.0,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety
241,27.0,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness
242,27.0,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness
243,27.0,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger
244,27.0,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral
245,27.0,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom
246,27.0,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness
247,27.0,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness
248,27.0,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety
